depth,reads,rs_t1_s,rs_t1_nomemo_s,cpp_s,rs_t64_s,rs_rss_gb,cpp_rss_gb,rs_t64_rss_gb,speedup_vs_cpp,memo_gain_pct,mem_ratio,t64_speedup
1x,242534,53.05,57.27,108.16,15.53,2.30,18.85,3.75,2.04,7.4,8.19,3.42
3x,727602,136.57,149.61,263.91,23.7,1.98,18.85,4.63,1.93,8.7,9.52,5.76
10x,2425341,430.56,470.74,813.6,47.4,2.17,18.85,7.55,1.89,8.5,8.69,9.08
13x,3168388,559.46,613.55,1059.39,58.47,1.96,18.85,8.65,1.89,8.8,9.62,9.57
