depth_x,threads,reads,read_bases,wall_s,indexing_s,mapping_s,peak_rss_gb,reads_per_s,mbp_per_s,cpu_us_per_read,mapped_pct,mapq60_pct
1,1,242845,3117432629,61.4,10.8,50.6,1.96,4799,62,166.4,100.00,94.0
1,8,242845,3117432629,21.7,9.8,11.9,2.13,20378,262,265.6,100.00,94.0
10,8,2428450,31174326290,114.8,10.2,104.6,2.18,23212,298,263.9,100.00,94.0
30,8,7285350,93522978870,314.2,10.0,304.2,2.16,23950,307,261.8,100.00,94.0
100,8,24284500,311743262900,1034.4,9.9,1024.5,2.16,23703,304,269.0,100.00,94.0
