# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_vs_cpp (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:152df922eb144f3f
# provenance: paper/generated/PROVENANCE.md#fig_vs_cpp
benchmark	metric	speedup_vs_cpp	rss_ratio_vs_cpp	cpp_wall_s	rs_wall_s	cpp_rss_gb	rs_rss_gb
B01	Containment	2.321	7.084	103.09	44.41	18.849	2.661
B02	Containment	2.404	7.082	87.04	36.21	18.845	2.661
B03	Containment	1.974	7.109	112.2	56.83	18.848	2.651
B04	Containment	1.771	7.11	902.68	509.71	18.85	2.651
B05	Containment	2.526	7.397	51.99	20.58	18.844	2.548
