# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   table_crossarch_machines (table)
# set:        x86_64/current on a2 @ 00d8c08aa656 (2026-08-10)
# set:        aarch64/current on galaxy @ 00d8c08aa656 (2026-08-10)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:ec02c5377cccc63b
# provenance: paper/generated/cross-arch/PROVENANCE.md#table_crossarch_machines
architecture	host	cores	sockets_numa	commit	rustc	measured	result_set
x86_64	a2	64	4 sockets x 16 cores, 4 NUMA nodes	00d8c08aa656	rustc 1.97.1 (8bab26f4f 2026-07-14)	2026-08-10	benchmarks/results/suite-1.0/x86_64/current
aarch64	galaxy	128	1 socket x 128 cores, 1 NUMA node	00d8c08aa656	rustc 1.97.1 (8bab26f4f 2026-07-14)	2026-08-10	benchmarks/results/suite-1.0/aarch64/current
