# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   table_peers (table)
# result set: current
# commit:     cc90fa548767
# host:       a2
# measured:   2026-08-10
# inputs:     sha256:74c953cf11205ae4
# provenance: paper/generated/PROVENANCE.md#table_peers
tool	threads	records	mapq60	index_s	map_s	peak_rss_gb	agreement_with_shmap_rs
shmap-rs	1	149194	139309	7.008	33.642	2.64	
cpp-shmap	1	149194	139309	34.91	74.41	18.85	
mapquik	32	148225			18.0	18.14	0.9612
winnowmap2	32	189022			1328.3	9.78	0.9633
