# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_vs_cpp (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#fig_vs_cpp
benchmark	metric	speedup_vs_cpp	rss_ratio_vs_cpp	cpp_wall_s	rs_wall_s	cpp_rss_gb	rs_rss_gb
B01	Containment	2.741	7.101	109.32	39.88	18.851	2.655
B02	Containment	2.585	7.327	83.87	32.45	18.848	2.573
B03	Containment	2.486	7.299	121.55	48.89	18.85	2.582
B04	Containment	2.19	7.247	890.65	406.75	18.853	2.602
B05	Containment	2.632	7.25	57.25	21.75	18.848	2.6
