threads,wall_s,speedup,indexing_s,mapping_s,mapping_speedup,rss_gb
1,39.43,1.00,9.2,30.3,1.00,2.18
2,25.65,1.54,8.0,17.6,1.72,1.78
4,16.22,2.43,5.0,11.2,2.71,1.84
8,10.02,3.94,3.5,6.5,4.66,2.02
16,7.38,5.34,3.5,3.9,7.77,2.05
32,7.62,5.17,3.8,3.8,7.97,2.28
64,7.1,5.55,3.2,3.9,7.77,2.36
