depth,reads_file,reads_file_size_gb,reference_file,reference_size_gb,reference_bases,reads,read_bases,read_len_mean,read_len_min,read_len_max,coverage_hs1,shmaprs_wall_s,shmaprs_peak_rss_gb,cpp_wall_s,cpp_peak_rss_gb,speedup,memory_ratio,mappings,threads,shmaprs_args,cpp_args
1x,hifi_1x.fa,3.12,hs1.fa,3.18,3117292070,242534,3113721004,12838,114,17603,0.9989,66.87,2.16,108.56,19.77,1.623,9.15,241991,1,"-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment -@ 1 -x --profile-log rs_1x.profile.json","-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment"
3x,hifi_3x.fa,9.36,hs1.fa,3.18,3117292070,727602,9336852851,12832,114,18106,2.9952,177.81,2.41,264.15,19.77,1.486,8.22,725892,1,"-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment -@ 1 -x --profile-log rs_3x.profile.json","-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment"
10x,hifi_10x.fa,31.22,hs1.fa,3.18,3117292070,2425341,31132446551,12836,62,18314,9.9870,566.1,2.60,810.65,19.77,1.432,7.62,2419796,1,"-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment -@ 1 -x --profile-log rs_10x.profile.json","-k 25 -r 0.01 -t 0.4 -d 0.075 -o 0.3 -m Containment"
