SRR11032669	142356	26127	3.62
SRR11032723	134615	25118	0.98
SRR11032754	122863	25131	3.01
SRR11032722	102726	31444	0.93
SRR11032684	102671	23522	2.33
SRR11032656	101765	25120	2.49
SRR11032661	80090	23497	0.55
SRR11032660	79439	20774	1.58
SRR11032675	75272	23966	1.75
SRR11032683	74662	20695	1.50
SRR11032736	74145	26216	1.89
SRR11032758	73802	27154	1.94
SRR11032720	72320	25355	0.53
SRR11032657	71460	23168	1.60
SRR11032664	67947	30138	1.97
SRR11032759	57985	27046	1.53
SRR11032668	54217	20416	1.07
SRR11032659	47863	21642	0.98
SRR11032667	47700	24422	1.12
SRR11032698	46509	20661	0.93
SRR11032755	43784	26217	1.11
SRR11032719	43372	28916	0.36
SRR11032702	42200	21665	0.89
SRR11032658	38749	30500	1.13
SRR11032752	36922	21107	0.75
SRR11032676	31775	26438	0.82
SRR11032701	27250	23022	0.18
SRR11032677	26744	21695	0.57
SRR11032665	15705	29294	0.44
