dataset,mapper,mapped_q60,q_lt60_or_missed_pct,wrong_q60,index_sec,map_sec,memory_gb,reads
chrY_sim_10kbp_10x,shmap-rs,22918,52.9,0,n/a,7.0,0.19,48673
allchr_sim_10kbp_1x,shmap-rs,228165,6.0,0,n/a,17.3,2.19,242845
chrY_sim_24kbp_10x,shmap-rs,6902,73.4,0,n/a,2.6,0.19,25940
allchr_real_24kbp,shmap-rs,1876,6.2,n/a,n/a,12.8,2.02,2000
