scope,dataset,mapper,ref,reads_in,mapped,map_pct,mean_mapq,total_s,peak_rss_mb,map_reads_per_s,k,w,density_or_r,theta,threads
wholegenome,hifi,shmap-rs,hs1.fa,6000,5991,99.85,57.0,212.16,9168.3,28.3,15,31,0.0625,0.2,4
wholegenome,ont,shmap-rs,hs1.fa,6000,5750,95.83,54.6,583.29,9062.1,10.3,15,31,0.0625,0.15,4
wholegenome,clr,shmap-rs,hs1.fa,6000,294,4.9,44.5,154.67,9169.7,38.8,15,31,0.0625,0.18,4
